Transaction ID,Medium,Date,Product Revenue
o716575517,organic,15/02/2018,"$2,155.79 "
o445393447,organic,13/05/2018,"$1,645.60 "
o1015370405,organic,10/09/2018,"$1,298.86 "
o878121633,organic,15/04/2018,"$1,256.84 "
o633222846,organic,15/03/2018,"$1,238.09 "
o369350570,organic,14/11/2017,"$1,102.56 "
o813241774,organic,8/03/2018,"$1,098.12 "
o853933910,organic,2/04/2018,"$1,096.99 "
o925985299,organic,5/10/2018,"$1,093.79 "
o884115531,organic,18/11/2018,"$1,051.25 "
o810641161,organic,31/03/2018,"$1,043.14 "
o580630187,organic,26/12/2017,"$1,042.95 "
o1278200457,organic,21/11/2018,"$1,028.39 "
o614541054,organic,5/01/2018,"$1,005.52 "
o432625943,organic,12/06/2017,$965.44 
o435932343,organic,10/05/2017,$959.90 
o425366273,organic,7/06/2017,$948.35 
o465810483,organic,15/09/2017,$921.88 
o469692231,organic,14/10/2017,$914.04 
o575029506,organic,2/10/2017,$909.76 
o820631261,organic,8/04/2018,$879.97 
o1096483047,organic,31/08/2018,$874.48 
o478904152,organic,4/01/2018,$868.54 
o1081263120,organic,11/08/2018,$857.05 
o634144858,organic,21/11/2017,$845.90 
o370124650,organic,2/03/2017,$843.04 
o413896866,organic,6/10/2017,$831.38 
o451746575,organic,19/11/2017,$822.91 
o331869199,organic,11/07/2017,$822.57 
o661931847,organic,8/01/2018,$811.37 
o193570674,organic,19/07/2017,$811.25 
o985537662,organic,21/08/2018,$805.59 
o1225751101,organic,2/11/2018,$794.10 
o116661333,organic,3/10/2017,$788.27 
o754405833,organic,28/02/2018,$777.06 
o625157584,organic,29/11/2017,$777.06 
o579006606,organic,1/02/2018,$777.01 
o609890276,organic,30/12/2017,$770.74 
o418814388,organic,9/04/2018,$759.86 
o937942569,organic,17/06/2018,$754.20 
o362414918,organic,9/05/2017,$754.20 
o434631280,organic,29/10/2017,$754.20 
o426669723,organic,23/06/2017,$752.44 
o930580247,organic,9/05/2018,$747.68 
o474511409,organic,18/07/2017,$745.51 
o1318421678,organic,15/09/2018,$742.97 
o423274516,organic,16/10/2017,$742.65 
o416439048,organic,25/10/2017,$731.33 
o673863280,organic,21/02/2018,$714.18 
o428473303,organic,19/06/2017,$714.12 
o373665096,organic,23/03/2017,$711.26 
o770936172,organic,12/05/2018,$710.40 
o397922561,organic,11/08/2017,$708.46 
o1187117564,organic,1/09/2018,$708.46 
o673687001,organic,11/03/2018,$698.99 
o571714811,organic,15/11/2017,$690.39 
o870513130,organic,15/05/2018,$689.80 
o418438855,organic,31/05/2017,$687.42 
o477715092,organic,19/08/2017,$685.59 
o803024684,organic,2/03/2018,$685.59 
o448363438,organic,8/08/2018,$685.59 
o374728795,organic,5/02/2018,$685.59 
o1110507674,organic,12/08/2018,$685.59 
o438090815,organic,15/05/2017,$685.59 
