Brand_Acc,createddate,salesid,subtotal,totaldiscount,osschannelid,dwinf_salesactivity,dataareaid,Transaction_ID,Medium,Date,Product_Revenue
B000403925,15FEB2017:00:00:00.000,SO01848256,359.76,359.76,Web,RT,au,o387174467,organic,15/02/2017,$685.59
B000217304,20FEB2017:00:00:00.000,SO01853891,314.76,284.76,Web,RT,au,o274433091,organic,21/02/2017,$599.83
B000520222,24FEB2017:00:00:00.000,SO01857811,269.76,289.74,Web,RT,au,o391334528,organic,24/02/2017,$514.08
B000662379,24FEB2017:00:00:00.000,SO01857856,139.99,139.99,Web,RECR,au,o409818952,organic,24/02/2017,$266.78
B000662985,27FEB2017:00:00:00.000,SO01859107,139.99,139.99,Web,RECR,au,o411781913,organic,28/02/2017,$266.78
B000544867,01MAR2017:00:00:00.000,SO01859941,149.88,129.87,Web,RT,au,o241564633,organic,01/03/2017,$285.62
B000549011,02MAR2017:00:00:00.000,SO01860452,139.99,139.99,Web,RECR,au,o243411058,organic,02/03/2017,$266.78
B000542599,02MAR2017:00:00:00.000,SO01860574,442.38,442.38,Web,RT,au,o370124650,organic,02/03/2017,$843.04
B000663637,02MAR2017:00:00:00.000,SO01860975,139.99,139.99,Web,RECR,au,o412759100,organic,02/03/2017,$266.78
B000292610,03MAR2017:00:00:00.000,SO01863443,335.76,335.76,Web,RT,au,o412967505,organic,03/03/2017,$639.85
B000419249,04MAR2017:00:00:00.000,SO01863719,335.76,335.76,Web,RT,au,o390069211,organic,04/03/2017,$639.85
B000568735,04MAR2017:00:00:00.000,SO01863941,338.88,338.88,Web,RT,au,o336366356,organic,05/03/2017,$645.80
B000567752,06MAR2017:00:00:00.000,SO01864888,179.88,159.87,Web,RT,au,o330599956,organic,06/03/2017,$342.80
B000667079,19MAR2017:00:00:00.000,SO01875836,179.88,189.87,Web,RT,AU,o417995433,organic,19/03/2017,$342.80
B000414384,20MAR2017:00:00:00.000,SO01876481,139.99,139.99,Web,RECR,AU,o186894416,organic,21/03/2017,$266.78
B000315467,23MAR2017:00:00:00.000,SO01878268,373.23,335.91,Web,RT,au,o373665096,organic,23/03/2017,$711.26
B000670784,03APR2017:00:00:00.000,SO01886927,139.99,119.99,Web,RECR,AU,o422559776,organic,03/04/2017,$266.78
B000672517,10APR2017:00:00:00.000,SO01893015,139.99,139.99,Web,RECR,AU,o424607507,organic,10/04/2017,$266.78
B000522590,20APR2017:00:00:00.000,SO01903031,209.85,219.84,Web,RT,au,o428204251,organic,21/04/2017,$399.91
B000675171,21APR2017:00:00:00.000,SO01903373,179.99,189.98,Web,RECR,au,o428270276,organic,21/04/2017,$343
B000194652,21APR2017:00:00:00.000,SO01903526,239.85,225.86,Web,RT,au,o336914082,organic,21/04/2017,$457.08
B000675929,25APR2017:00:00:00.000,SO01905224,139.99,139.99,Web,RECR,au,o429450755,organic,25/04/2017,$266.78
B000675974,25APR2017:00:00:00.000,SO01905321,179.88,192.87,Web,RT,au,o429511149,organic,25/04/2017,$342.80
B000568735,27APR2017:00:00:00.000,SO01906503,161.88,176.87,Web,RT,au,o413457466,organic,27/04/2017,$308.49
B000111239,28APR2017:00:00:00.000,SO01908589,236.85,251.84,Web,EM,au,o401481441,organic,28/04/2017,$451.36
B000676996,30APR2017:00:00:00.000,SO01909429,139.99,139.99,Web,RECR,au,o431102598,organic,30/04/2017,$266.78
B000404152,01MAY2017:00:00:00.000,SO01910416,139.99,139.99,Web,RECR,au,o396611669,organic,01/05/2017,$266.78
B000206300,01MAY2017:00:00:00.000,SO01910434,305.88,305.88,Web,RT,au,o364525433,organic,01/05/2017,$582.91
B000677425,01MAY2017:00:00:00.000,SO01910447,139.99,139.99,Web,RECR,au,o431791047,organic,01/05/2017,$266.78
B000677522,02MAY2017:00:00:00.000,SO01910782,0,0,Web,RECR,au,o432176738,organic,02/05/2017,$228.45
B000201890,02MAY2017:00:00:00.000,SO01910984,139.99,139.99,Web,RECR,au,o432237030,organic,02/05/2017,$266.78
B000677669,02MAY2017:00:00:00.000,SO01911357,60,19.99,Web,RT,au,o432425756,organic,02/05/2017,$114.34
B000578652,02MAY2017:00:00:00.000,SO01911441,179.88,171.88,Web,RT,au,o288647050,organic,03/05/2017,$342.80
B000507130,02MAY2017:00:00:00.000,SO01911451,300.86,300.86,Web,RT,au,o338081218,organic,03/05/2017,$573.35
