settelmentdate,REGION,totaldemandday,minrrp,maxrrp,meanrrp,medianrrp,firstrrp,lastrrp,TempMin_C,TempMax_C,Temp9am_C,Temp3pm_C
2017-08-01,NSW,426561.47000000003,74.4,267.9,120.591875,99.765,184.8,92.44,8.6,18.1,11.6,16.9
2017-08-02,NSW,426767.98,70.98,272.5,110.7775,99.87,92.91,74.96,7.2,18.2,9.6,16.8
2017-08-03,NSW,425176.68,73.53,171.66,100.17854166666666,94.275,74.4,104.29,8.9,17.4,10.3,16.4
2017-08-04,NSW,420880.68,63.67,172.13,102.70416666666667,104.59,105.29,91.55,10.3,17.3,12.8,16.6
2017-08-05,NSW,396798.26,50.37,122.24,87.605625,91.93,90.25,67.58,9.6,19.9,14,19.3
2017-08-06,NSW,364510.8,45.54,117.87,81.26520833333333,85.545,50.02,85.14,12.1,21.3,15,20.9
2017-08-07,NSW,384225.16,45.15,139.31,86.62729166666666,87.405,84.83,88.81,13.5,18.4,14.7,16.9
2017-08-08,NSW,416321.69,71.51,225.32,102.54583333333333,97.41,83.28,88.13,9.7,19.3,12.1,18.5
2017-08-09,NSW,415176.08,77.1,212.38,102.96145833333334,96.685,90.84,90.83,9.2,20.9,12,20
2017-08-10,NSW,407819.1,63.13,240.52,99.56729166666666,95.315,87.77,68.73,9.2,24.2,11.8,23.5
2017-08-11,NSW,387143.67,55.82,113.98,82.41416666666667,81.675,67.04,77.94,11.8,25.9,20.7,25.2
2017-08-12,NSW,364643,52.7,101.08,80.86125,81.285,75.26,67.65,9.6,21.4,13.5,20.7
2017-08-13,NSW,350359.45,57,104.24,87.525625,90.925,57,77.65,10.2,20.6,13.2,18.5
2017-08-14,NSW,375156.45,65.01,174.6,99.87895833333333,93.84,74.72,93.5,8.5,23.1,10.9,23
2017-08-15,NSW,400829.11,64.35,197.57,112.95625,103.11,93.84,97.28,10.7,22.4,12.8,20.1
2017-08-16,NSW,380650.58,41.15,132.14,85.77625,90.715,99.77,75.02,12.8,21.8,20.5,20.5
2017-08-17,NSW,373166.69,53.8,105.59,80.84833333333333,81.555,82.29,72.28,11.3,22.4,15.7,22
2017-08-18,NSW,381589.75,62.37,111.01,82.77208333333333,83.725,72.83,84.84,11.4,16.9,13.6,16
2017-08-19,NSW,391283.77,72.88,139.12,99.72833333333334,97.85499999999999,79.7,92.97,8.7,16.5,11.1,16.2
2017-08-20,NSW,381951.95,80.74,149.09,102.05395833333333,99.035,91.42,101.04,6.4,16.2,9.8,15
2017-08-21,NSW,410951.08,71.06,154.09,103.78854166666666,100.785,101.79,114.63,8.3,17.7,11.7,15.9
2017-08-22,NSW,423719.71,90.89,186.13,106.51625,100.16499999999999,111.94,95.42,8.7,20.2,11.8,18.2
2017-08-23,NSW,404279.27,91.64,203.79,114.28583333333333,106.095,97.24,91.64,8.3,19.9,12.1,18.6
2017-08-24,NSW,396818.29,89.95,198.8,108.40979166666666,104.66,92.37,107.06,11.2,18,13.6,17.1
2017-08-25,NSW,414562.39,102.72,261.12,118.29666666666667,110.525,110.61,105.12,9.6,17.9,12.7,16.5
2017-08-26,NSW,390654.81,94.92,171.24,111.80479166666667,105.8,105.98,96.12,7.7,20.4,11.1,17.3
2017-08-27,NSW,361678.18,74.97,123.06,97.976875,98.94,97.99,87,8.6,19.5,12.8,19.3
2017-08-28,NSW,407964.08999999997,86.86,253.13,126.00854166666667,107.77000000000001,87.01,115.62,7.6,16.3,10.9,15.3
2017-08-29,NSW,432281.97,98.78,296.55,145.181875,120.84,116,123.19,7.5,16.7,10.6,16
2017-08-30,NSW,423332.5,96.94,268.58,128.304375,109.23,119.12,99.47,8.4,19,11.9,17.7
2017-08-31,NSW,411440.78,94.67,236.1,105.58083333333333,100.155,97.2,100.63,7.8,17.7,11.7,14.6
2017-09-01,NSW,418569.98,82.8,256.71,108.94291666666666,101.155,99.56,82.8,8.2,19.2,12.2,17.7
2017-09-02,NSW,390127.34,76.38,147.94,103.18083333333334,101.21000000000001,86.16,91.36,7.8,19.4,11.8,17.5
2017-09-03,NSW,350602.21,60.66,132.07,91.61770833333333,98.225,77.29,68.23,10,27.2,15.3,26.6
2017-09-04,NSW,349221.36,47.36,111.71,86.19479166666666,96.11,62.69,99.55,12,22.2,16,21.7
2017-09-05,NSW,382751.79,64.02,169.78,96.58145833333333,96.305,99.99,83.09,11.4,18.7,14.7,18.2
2017-09-06,NSW,391281.64,67.03,132.84,92.58395833333333,91.95,90.84,87.88,11.5,19.9,14.6,19
2017-09-07,NSW,385566.17,77.42,196.67,97.40145833333334,94.13499999999999,87.7,87.02,10,21.9,15.7,21.5
2017-09-08,NSW,386595.79,76.53,134.45,92.95104166666667,88.95,87.97,87.03,11.1,20.4,16,19.9
2017-09-09,NSW,371955.54,85.81,132.53,93.95875,89.12,85.89,87.96,9.6,19.4,13.1,17.7
2017-09-10,NSW,354974.1,83.16,189.87,93.20270833333333,87.96,87.89,85.34,8,19.1,13.5,17.3
2017-09-11,NSW,365446.2,72.02,181.5,93.41083333333333,88.68,74.25,87.97,8.7,22.7,14.4,22.5
2017-09-12,NSW,376708.74,75.33,158.1,94.78020833333333,89.43,87.64,87.8,11.3,27.2,18.2,23.4
2017-09-13,NSW,361541.21,62.19,164.36,92.29229166666667,90.285,90.36,97.41,18.2,33.8,24.9,32.5
2017-09-14,NSW,363420.48,66.45,123.24,88.73416666666667,87.85499999999999,99.42,87.96,12,17.3,13.8,16.4
2017-09-15,NSW,378037.76,68.96,157.35,92.98666666666666,88.00999999999999,88.05,88.13,10.5,22.8,16.6,22.2
2017-09-16,NSW,355504.14,69.4,99.54,88.725,88.16999999999999,88.41,79.88,12.5,24.2,17.3,21.3
2017-09-17,NSW,343846.59,70.01,133.43,88.75270833333333,87.865,73.85,70.01,8.1,18.6,13.6,16.4
2017-09-18,NSW,362727.46,74.3,108.01,84.19854166666667,85.41,74.3,74.94,8.2,21,14,20.2
2017-09-19,NSW,362743.54,68.56,123.33,80.62770833333333,76.455,74.96,75.98,14,25.2,20.4,23.1
2017-09-20,NSW,372625.99,74.87,195.3,90.46166666666667,86.86,80.98,77.43,10.7,19,14.6,17.7
2017-09-21,NSW,368551.24,72.96,99.31,82.22604166666666,83.14500000000001,85.6,76.21,10.4,21.3,15.6,21.2
2017-09-22,NSW,365163.07,72.4,103.26,82.09104166666667,82.105,75.18,78.97,12.8,27.7,20.1,25.8
2017-09-23,NSW,347970.98,67.92,96.53,79.19791666666667,77.67500000000001,84.74,74.24,15.5,32.2,23,29.1
2017-09-24,NSW,329363.83,51.67,89.19,72.129375,74.49000000000001,74.13,74.96,23,29.2,27.1,27.8
2017-09-25,NSW,338245.33,56.57,95.4,75.32916666666667,74.96,76.45,81.61,16,26.7,22.3,23.3
2017-09-26,NSW,361352.23,72.7,95.85,81.26604166666667,78.47,81.33,84.31,12.3,22.2,19.5,19
2017-09-27,NSW,365549.85,74.12,112.27,90.34416666666667,87.995,85.32,79.76,15.4,22.7,18.1,21.1
2017-09-28,NSW,363557.11,59.52,90.79,74.91375,75.05,87.96,74.97,18,25.7,22.7,24.1
2017-09-29,NSW,358802.67,67.59,85.16,74.325625,74.94,74.92,71.39,13,26.9,20.4,26.8
2017-09-30,NSW,336253.76,57.66,82.88,71.87229166666667,73.08,74.96,70.07,16.3,24.1,18.8,23.5
2017-10-01,NSW,305829.74,65.8,75.93,71.86239130434782,72.39,70.73,66.04,11.2,23.1,15.4,19.3
2017-10-02,NSW,312019.5,61.36,87.01,70.74604166666667,70,65.22,74.97,12,22.9,16.7,21.3
2017-10-03,NSW,343465.79,70.26,95.42,79.23625,76.55,74.96,76.13,16.7,22.1,18.9,20.1
2017-10-04,NSW,360480.83,74.96,94.93,82.62791666666666,82.755,75.48,82.9,15.6,23.8,20.4,22.1
2017-10-05,NSW,359034.76,69.94,97.63,80.87979166666666,81,77.55,74.46,16.5,23.4,19.5,22.6
2017-10-06,NSW,366363.37,63.5,88.51,75.45666666666666,74.985,83.13,74.09,18,22.1,18.9,20.3
2017-10-07,NSW,340659.24,66.04,126.89,80.93270833333334,76,73.2,73.26,13.7,22,16.2,21.1
2017-10-08,NSW,320380.72000000003,64.87,88.31,72.90875,72.93,71.61,77.7,13,21.4,16.6,19.6
2017-10-09,NSW,343118.12,64.39,110.23,77.92041666666667,75.35499999999999,73.28,75.93,16.6,30,20.1,27.5
2017-10-10,NSW,368522.74,69.51,114.21,86.605,84.08500000000001,77.54,99.67,16.1,21.3,19,20.5
2017-10-11,NSW,357929.68,53.1,251.74,94.73541666666667,86.99000000000001,98.95,85.88,18,23.2,19.3,22.6
2017-10-12,NSW,360563.97,69.32,196.12,87.319375,78.625,85.23,74.97,19.2,29.6,23.2,27.3
2017-10-13,NSW,358709.92,68.45,112.78,82.315625,82.41,79.07,82.74,14.7,23.2,18.4,22.7
2017-10-14,NSW,346622.13,76.24,123.7,89.60666666666667,88.125,82.78,86.54,17.1,22.3,18.7,18.2
